unit,category,label,score,color-label,color-truth,color-activation,color-intersect,color-iou,object-label,object-truth,object-activation,object-intersect,object-iou,part-label,part-truth,part-activation,part-intersect,part-iou,material-label,material-truth,material-activation,material-intersect,material-iou,scene-label,scene-truth,scene-activation,scene-intersect,scene-iou,texture-label,texture-truth,texture-activation,texture-intersect,texture-iou
91,object,dog,0.080108990237505465,white-c,73689572.0,2751036.0,632530.0,0.008343833753442477,dog,3854036.0,1705555.0,412341.0,0.080108990237505465,muzzle,678509.0,1325775.0,87767.0,0.045795054257280261,ceramic,691094.0,605464.0,18981.0,0.014857030143779983,waterfall-cascade-s,140459.0,283428.0,7123.0,0.017091207493929412,,25372003.0,96700.0,54410.0,0.002140921252462148
134,object,cat,0.080076983216146286,orange-c,30864899.0,2978121.0,213683.0,0.0063540652020585477,cat,4228548.0,1740950.0,442579.0,0.080076983216146286,head,5034747.0,918420.0,356129.0,0.063628119015808005,plastic-opaque,587694.0,404337.0,5731.0,0.0058106052925073499,archive-s,344763.0,659424.0,22030.0,0.022430222459342036,pleated,1532280.0,456626.0,42568.0,0.021870815860349023
228,texture,polka-dotted,0.079674293409038671,orange-c,30864899.0,2708397.0,182866.0,0.0054765991333444938,dog,3854036.0,1300252.0,173629.0,0.034860647958432807,muzzle,678509.0,707373.0,56138.0,0.042217148563934111,plastic-opaque,587694.0,352439.0,4201.0,0.0044885739562275885,poolroom-establishment-s,306456.0,513475.0,5771.0,0.0070882873145327692,polka-dotted,1736584.0,485173.0,163954.0,0.079674293409038671
161,texture,zigzagged,0.078958816705336429,red-c,21346526.0,3153117.0,164449.0,0.0067576613525250715,dog,3854036.0,1671352.0,142043.0,0.026385639411926971,body,1312994.0,892183.0,111062.0,0.053035291758093517,paper,478153.0,308270.0,3595.0,0.0045923242398074665,shopfront-s,204304.0,565682.0,12702.0,0.016773099656139569,zigzagged,1647201.0,927212.0,188397.0,0.078958816705336429
130,object,dog,0.078584451209313219,white-c,73689572.0,2737742.0,677216.0,0.0089401336484079535,dog,3854036.0,2078515.0,432239.0,0.078584451209313219,muzzle,678509.0,1636123.0,99823.0,0.045070703613720189,fur,105151.0,475618.0,7108.0,0.012390593050599568,beer_garden-s,127690.0,339940.0,3184.0,0.0068554794314086009,bumpy,2119654.0,124091.0,7076.0,0.0031636330632740027
18,object,dog,0.077283228465501244,orange-c,30864899.0,2691553.0,271783.0,0.0081654109283766652,dog,3854036.0,1651142.0,394936.0,0.077283228465501244,muzzle,678509.0,1380710.0,72063.0,0.036264389912014958,skin,180834.0,595037.0,9312.0,0.012147792929180922,catwalk-s,140459.0,226755.0,5893.0,0.016309597283302099,freckled,1583356.0,101647.0,8746.0,0.0052175770183211763
100,object,water,0.07708289730312895,blue-c,62464739.0,2773049.0,511264.0,0.0078988329421181332,water,5727031.0,1956328.0,549870.0,0.07708289730312895,head,5034747.0,484460.0,72218.0,0.013258334099811841,metal,3523669.0,325688.0,33611.0,0.0088085003561557823,lake-artificial-s,127690.0,759429.0,21314.0,0.024617552451187043,smeared,1902581.0,294976.0,21325.0,0.0097990471604130439
20,texture,freckled,0.075227532177156539,orange-c,30864899.0,2751253.0,251424.0,0.007535622649164111,sheep,824399.0,1245957.0,68636.0,0.034288511879783386,muzzle,678509.0,613742.0,48260.0,0.038794492886202556,food,1124121.0,564113.0,63349.0,0.038986759062949072,wine_cellar-barrel_storage-s,268149.0,426869.0,10611.0,0.01550393260150758,freckled,1583356.0,646067.0,155980.0,0.075227532177156539
90,texture,honeycombed,0.075065161455191487,orange-c,30864899.0,3289981.0,341834.0,0.010109529913394966,keyboard,128527.0,605673.0,11766.0,0.016286608880534414,wing,328483.0,121700.0,2349.0,0.0052452471228178286,food,1124121.0,380162.0,60232.0,0.041710438204744849,auditorium-s,497991.0,358082.0,19757.0,0.023623845532071606,honeycombed,1583356.0,2021975.0,251738.0,0.075065161455191487
225,part,hair,0.074860472216531249,brown-c,185306464.0,2787173.0,1048705.0,0.0056067009610289787,dog,3854036.0,1887889.0,389697.0,0.072810239025691725,hair,1180528.0,1773209.0,205718.0,0.074860472216531249,fur,105151.0,448959.0,4802.0,0.008741908000611677,sandbox-s,204304.0,143061.0,5830.0,0.017069992826503868,matted,1621663.0,125888.0,22666.0,0.013140586184006471
